["'Cause I'm Blonde", 'Julie Brown']
["Don't Know What You Got (Till It's Gone)", 'Cinderella']
["Don't Rush Me", 'Taylor Dayne']
["Don't Turn Around", 'Aswad']
["Don't Wake The Lion / Too Old To Die Young", 'Magnum']
["Don't Worry Be Happy", 'Bobby McFerrin']
["Don't You Know What The Night Can Do?", 'Steve Winwood']
['Dyers Eve', 'Metallica']
['Edge Of A Broken Heart', 'Vixen']
['End Of The Line', 'The Traveling Wilburys']
['Especially For You', 'Kylie Minogue']
['Eternal Flame', 'Bangles']
['European Soul', 'Kim Wilde']
['Every Little Step', 'Bobby Brown']
['Every Rose Has Its Thorn', 'Poison']
['Everybody Knows ', 'Leonard Cohen']
['Everyday Is Like Sunday', 'Morrissey']
['Everything Your Heart Desires', 'Hall & Oates']
['Eye Of The Beholder', 'Metallica']
['F--k tha Police', 'N.W.A']
['Family Man', 'Roachford']
['Fast Car', 'Tracy Chapman']
['Fat', 'Weird Al Yankovic']
['Feed Me With Your Kiss', 'My Bloody Valentine']
['Fiesta', 'The Pogues']
['Finale', 'Anthrax']
['Finest Worksong', 'R.E.M.']
['First We Take Manhattan', 'Leonard Cohen']
["Fisherman's Blues", 'The Waterboys']
['Flower', 'Soundgarden']
['For Whom The Bell Tolls', 'Saxon']
['For You', 'John Denver']
['Forever Young', 'Rod Stewart']
['Forever Your Girl', 'Paula Abdul']
['Four Letter Word', 'Kim Wilde']
['Frightened Children', 'White Lightning']
['Funky Cold Medina', 'Tone-Loc']
['Get Outta My Dreams, Get Into My Car', 'Billy Ocean']
['Gigantic', 'Pixies']
["Gimme Hope Jo'anna", 'Eddy Grant']
['Giving You The Best That I Got', 'Anita Baker']
['Glamour Boys', 'Living Colour']
['God Part II', 'U2']
['Goldilox', "King's X"]
['Golgi Apparatus', 'Phish']
['Good Tradition', 'Tanita Tikaram']
['Goodbye Horses', 'Q. Lazzarus']
['Gypsy Road', 'Cinderella']
['Handle With Care', 'The Traveling Wilburys']
['Hands To Heaven', 'Breathe']
['Harvester Of Sorrow', 'Metallica']
['Having an Average Weekend', 'Shadowy Men on a Shadowy Planet']
['Hawkmoon 269', 'U2']
['Headed for a Heartbreak', 'Winger']
['Heartland', 'U2']
['Heaven', 'BeBe & CeCe Winans']
['Heaven Knows', 'Robert Plant']
['Heavy Rotation', 'Soul Asylum']
['Hello from the Gutter', 'Overkill']
['Helter Skelter', 'U2']
['Hey Mister Heartache', 'Kim Wilde']
['Holding Out', 'Peter Cetera']
['Hook In Mouth', 'Megadeth']
["I Don't Wanna Go On With You Like That", 'Elton John']
["I Don't Want Your Love", 'Duran Duran']
['I Hate Myself For Loving You', 'Joan Jett']
["I Know You're Out There Somewhere", 'The Moody Blues']
['I Live You Die', 'Flotsam and Jetsam']
['I Should Be So Lucky', 'Kylie Minogue']
["I'll Always Love You", 'Taylor Dayne']
["I'm Gonna Be (500 Miles)", 'The Proclaimers']
["I'm Real", 'James Brown']
["I'm Your Man", 'Leonard Cohen']
["I'm Your Pusher", 'Ice-T']
['If I Could Bottle This Up', 'George Jones']
['If We Hold On Together', 'Diana Ross']
["In 'N' Out Of Grace", 'Mudhoney']
['In My Darkest Hour', 'Megadeth']
['In Your Room', 'Bangles']
['Into Temptation', 'Crowded House']
['It Must Have Been Love', 'Magnum']
['It Takes Two', 'Rob Base & DJ E-Z Rock']
["It's Alright", 'Pet Shop Boys']
["It's Money That Matters", 'Randy Newman']
['Jane Says', "Jane's Addiction"]
['Jericho Siren', 'Saxon']
['John Kettley Is A Weatherman', 'Tribe of Toffs']
['Josephine Baker', 'Al Stewart']
['Just Like Paradise', 'David Lee Roth']
['King', "King's X"]
['King Of Spades', 'Dare']
['Kiss', 'Tom Jones']
['Kiss Me Deadly', 'Lita Ford']
['Knocked Out', 'Paula Abdul']
['Kokomo', 'The Beach Boys']
['Lay Your Hands On Me', 'Bon Jovi']
['Lead Me On', 'Amy Grant']
['Let It Shine', 'Brian Wilson']
['Let The River Run', 'Carly Simon']
['Liar', 'Megadeth']
['License To Steal', 'Al Stewart']
['Like the Way I Do', 'Melissa Etheridge']
['Little Man, What Now', 'Morrissey']
['Little Miss S.', 'Edie Brickell & New Bohemians']
['Loco In Acapulco', 'The Four Tops']
['London Nightlife', 'White Lightning']
['Look Away', 'Chicago']
['Love and Mercy', 'Brian Wilson']
['Love Kills', 'Vinnie Vincent Invasion']
['Love Rescue Me', 'U2']
['Love Saw It', 'Karyn White']
['Ma and Pa', 'Fishbone']
['Madalaine', 'Winger']
['Make Me Laugh', 'Anthrax']
['Make Me Lose Control', 'Eric Carmen']
['Mandatory Suicide', 'Slayer']
['Margaret on the Guillotine', 'Morrissey']
["Martha's Harbour", 'All About Eve']
['Mary Jane', 'Megadeth']
['Melt Away', 'Brian Wilson']
['Middle Man', 'Living Colour']
['Mistletoe And Wine', 'Cliff Richard']
['Mother', 'Danzig']
['Motorcrash', 'The Sugarcubes']
['Mountain Song', "Jane's Addiction"]
['My Prerogative', 'Bobby Brown']
['Never Trust A Stranger', 'Kim Wilde']
['Nobody Knows', 'Mike + the Mechanics']
["Nobody's Fool", 'Kenny Loggins']
['Not Alone Any More', 'The Traveling Wilburys']
["Nothin' But a Good Time", 'Poison']
['Nothing', 'Edie Brickell & New Bohemians']
["Now It's Dark", 'Anthrax']
["Oh Patti (Don't Feel Sorry For Loverboy)", 'Scritti Politti']
['One', 'Metallica']
['One In A Million', "Guns N' Roses"]
['One Minute of Silence', 'Soundgarden']
['One Moment In Time', 'Whitney Houston']
['Open Letter (To a Landlord)', 'Living Colour']
['Opposites Attract', 'Paula Abdul']
['Orange Crush', 'R.E.M.']
['Orinoco Flow (Sail Away)', 'Enya']
['Orrin Hatch On Skis', 'Frank Zappa']
["Parents Just Don't Understand", 'DJ Jazzy Jeff & the Fresh Prince']
['Passionate Kisses', 'Lucinda Williams']
['Patience', "Guns N' Roses"]
['Peekaboo', 'Siouxsie and the Banshees']
['People Have the Power', 'Patti Smith']
['Perfect', 'Fairground Attraction']
['Perfect World', 'Huey Lewis & the News']
['Piano In The Dark', 'Brenda Russell']
['Piece of My Love', 'Guy']
["Please Don't Go Girl", 'New Kids on the Block']
["Plug Tunin' ", 'De La Soul']
['Poor Cow', 'Tanita Tikaram']
["Pop Song '89", 'R.E.M.']
['Potholes in My Lawn', 'De La Soul']
['Pray For The Day', 'Magnum']
['Prove Your Love', 'Taylor Dayne']
['Punk Rock Girl', 'The Dead Milkmen']
['Read Between The Lies', 'Slayer']
['Red Alert', 'Saxon']
['Rio Grande', 'Brian Wilson']
['Ritual', 'Dan Reed Network']
['River of No Return', 'The Jeff Healey Band']
['Roll With It', 'Steve Winwood']
['Roni', 'Bobby Brown']
['Roulette', 'Bruce Springsteen']
['Run With Us', 'Lisa Lougheed']
['Rush Hour', 'Jane Wiedlin']
['S.O.S.', 'Saxon']
['Sacred Emotion', 'Donny Osmond']
['Save Up All Your Tears', 'Bonnie Tyler']
['Second Chance', '.38 Special']
['Secret Ambition', 'Michael W. Smith']
['Secret Rendezvous', 'Karyn White']
['Set The World Afire', 'Megadeth']
['Seventeen', 'Winger']
['Seventh Son Of A Seventh Son', 'Iron Maiden']
['She Wants To Dance With Me', 'Rick Astley']
['Ship Of Fools', 'Robert Plant']
['Silent Scream', 'Slayer']
['Silver And Gold', 'U2']
['Silvio', 'Bob Dylan']
['Simply Irresistible', 'Robert Palmer']
['Slow Down', 'Karyn White']
['Soldier Of Love', 'Donny Osmond']
['Stand', 'R.E.M.']
['Stay', 'Oingo Boingo']
['Stone', 'Kim Wilde']
['Straight Outta Compton', 'N.W.A']
['Straight Up', 'Paula Abdul']
['Sucker In A 3 Piece', 'Van Halen']
['Suedehead', 'Morrissey']
['Suffer The Little Children', 'Pat Benatar']
['Superwoman', 'Karyn White']
["Sweet Young Thing Ain't Sweet No More", 'Mudhoney']
['Take it From the Source', 'Spirit of the West']
['Tall Cool One', 'Robert Plant']
['Tattooed Dancer', 'Ozzy Osbourne']
['Ted, Just Admit It...', "Jane's Addiction"]
['Teenage Riot', 'Sonic Youth']
['Thank You', 'Ray Boltz']
['The Blood That Moves the Body', 'a-ha']
['The Blue Garden', 'Masters of Reality']
['The Clairvoyant', 'Iron Maiden']
["The Devil's Right Hand", 'Steve Earle']
['The Evil That Men Do', 'Iron Maiden']
['The Flame', 'Cheap Trick']
['The Frayed End Of Sanity', 'Metallica']
['The Funny Farm', 'Andrew Savage']
['The Last Beat of My Heart', 'Siouxsie and the Banshees']
['The Last Mile', 'Cinderella']
['The Living Years', 'Mike + the Mechanics']
['The Look', 'Roxette']
['The Night I Heard Caruso Sing', 'Everything but the Girl']
['The Only Way Is Up', 'Yazz & the Plastic Population']
['The Promise', 'When In Rome']
['The Shouting Stage', 'Joan Armatrading']
['The Valley Road', 'Bruce Hornsby & the Range']
['The Way I Feel', 'Robert Plant']
['The Way You Love Me', 'Karyn White']
['The Wind Beneath My Wings', 'Bette Midler']
['There She Goes', "The La's"]
["There's So Many", 'Brian Wilson']
['Thinking Of You', 'Safire']
