['Act like You Love Me', 'Shawn Mendes']
['Addicted', 'Jesse Malin']
['Adore', 'Cashmere Cat']
['Adventure of a Lifetime', 'Coldplay']
['After the Storm Blows Through', 'Maddie & Tae']
['Afterglow', 'Chvrches']
['Afterlife', 'Greyson Chance']
['Aftermath', 'Muse']
['Aftertaste', 'Shawn Mendes']
['Aftertaste', 'Ellie Goulding']
['Again', 'Fetty Wap']
['Ahead Of Myself', 'Jamie Lawson']
['AhHa', 'Nate Ruess']
["Ain't Enough Whiskey", 'Kid Rock']
["Ain't Going To Heaven", 'Gangstagrass']
["Ain't Got Far to Go", 'Jess Glynne']
["Ain't Missing You", 'Chief Keef']
["Ain't My Last Dance", 'Five Finger Death Punch']
["Ain't No Trucks in Texas", 'Ronnie Dunn']
["Ain't Nobody (Loves Me Better)", 'Felix Jaehn']
["Ain't Nothing", 'Chief Keef']
["Ain't Startin' Tonight", 'LoCash']
['Albatross', 'Foals']
['Alien', 'The Devil Wears Prada']
['Alive', 'Iyaz']
['Alive', 'Sia']
['Alive', 'Escape the Fate']
['All About You', 'Raekwon']
['All Country on You', 'Austin Webb']
['All Cried Out', 'Blonde']
['All Day', 'Kanye West']
['All Eyes on You ', 'Meek Mill']
['All I Ask', 'Adele']
['All I Know (My Heart)', 'Raheem DeVaughn']
['All I Need ', 'The-Dream']
["All I'm Drinking 'Bout", 'Jason Michael Carroll']
["All In a Day's Work", 'Dr. Dre']
['All In It ', 'Justin Bieber']
['All Is Beauty', 'Jamie Lawson']
['All My Friends', 'Snakehips']
['All My Heart ', 'John Newman']
["All Of God's Children", 'Jon Foreman']
['All That', 'Carly Rae Jepsen']
['All That Matters', 'Estelle']
['All That Shines', 'Vic Mensa']
['All The Same', 'Deerhunter']
['All Your Fault ', 'Big Sean']
['All Your Favorite Bands', 'Dawes']
['Allie', 'Belle & Sebastian']
['Alone No More', 'Philip George']
['Alone On Christmas Day', 'Phoenix']
['Along The Road', 'Karmin']
['Alright', 'Kendrick Lamar']
['Am I Wrong ', 'Anderson Paak']
['Amazing Day', 'Coldplay']
['Amen', 'Halestorm']
['American Beauty/American Psycho', 'Fall Out Boy']
['American Muscle', 'Canaan Smith']
['American Oxygen', 'Rihanna']
['American You', 'Yelawolf']
['Amnesia', 'Josh Abbott Band']
['An Illustration of Loneliness (Sleepless in NY)', 'Courtney Barnett']
['Anaesthetist', 'Enter Shikari']
['Angel', 'The Weeknd']
["Angela's Eyes", 'Guy Garvey']
['Angels', 'Chance the Rapper']
['Angels and Alcohol', 'Alan Jackson']
['Angels Fall', 'Breaking Benjamin']
['Angels of Fenway', 'James Taylor']
['Animals', 'Dr. Dre']
['Anna', 'Will Butler']
['Anonymity', 'Josh Abbott Band']
['Another Country', 'Rod Stewart']
['Another Girl', 'Michael Ray']
['Another Lonely Night ', 'Adam Lambert']
['Another Love Song ', 'Leona Lewis']
['Another One', 'Mac DeMarco']
['Anthem', 'Thomas Rhett']
['Anthem for Doomed Youth', 'The Libertines']
['Anthropoid', 'Lamb Of God']
['Anti-Summersong', 'The Decemberists']
['Antidote', 'Travis Scott']
['Any Emotions', 'Mini Mansions']
['Anything Is Better Than This', 'Everclear']
['Apart', 'Avant']
['Apex Predator - Easy Meat', 'Napalm Death']
['Apocalyptic', 'Halestorm']
['Aqua Profunda!', 'Courtney Barnett']
['Are You Ready', 'Gloriana']
['Are You Sure', 'Kacey Musgraves']
['Area Code', 'Nick Jonas']
['Army', 'Ellie Goulding']
['Army Of One', 'Coldplay']
['Around The World ', 'Natalie La Rose']
['Around U', 'Ellie Goulding']
['Art Deco', 'Lana Del Rey']
['Artangels', 'Grimes']
['As Real as You and Me', 'Rihanna']
['Ashes Of Eden', 'Breaking Benjamin']
['Asking For It', 'Shinedown']
['Asteroid', 'The Devil Wears Prada']
['Atom Dance', 'Bj�rk']
['Autonomous Zone', 'Killing Joke']
['Autopilot', 'Kodaline']
['Avalanche', 'Bring Me The Horizon']
['Awake', 'Snoop Dogg']
['Awesome', 'Kanye West']
['Ayo', 'Chris Brown & Tyga']
['B A Nobody', 'SOAK']
['B.I.G.', 'X Ambassadors']
['Baby Blue', 'Action Bronson']
["Baby I'm Right", 'Darius Rucker']
['Baby Love', 'Petite Meller']
['Baby Shark', 'Pinkfong']
['Back Home', 'A$AP Rocky']
['Back Home', 'Owl City']
['Back It Up', 'Prince Royce']
['Back to Back', 'Drake']
['Back to Sleep', 'Chris Brown']
['Back Together', 'Robin Thicke']
['Back Up', 'Dej Loaf']
['Backroad Song', 'Granger Smith']
['Bad', 'Stroamata']
['Bad For You', 'Meek Mill']
['Bad Friday', "Umphrey's McGee"]
['Bad Girls World', 'Halestorm']
['Bail Me Out', 'All Time Low']
['Ballad of Sugarcane Jane', 'Sugarcane Jane']
['Ballad Of The Mighty I', "Noel Gallagher's High Flying Birds"]
['Baltimore', 'Prince']
['Bamboula', 'Ringo Starr']
['Bang That', 'Disclosure']
['Barbarian', 'The Darkness']
['Basil', 'Mark Knopfler']
['Bassem Sabry', 'Of Montreal']
['Batman Superman Spiderman', 'Rod Stewart']
['Battering Ram', 'Saxon']
