["(I've Had) The Time of My Life", 'Bill Medley & Jennifer Warnes']
['Kiss And Tell', 'Bryan Ferry']
['Kiss Of Death', 'Dokken']
['Kissing A Fool', 'George Michael']
['L.A. County', 'Lyle Lovett']
['La Bamba', 'Los Lobos']
['La Isla Bonita', 'Madonna']
['La, La, La, He, He, Hee', 'Prince']
['Last Night I Dreamt That Somebody Loved Me', 'The Smiths']
['Learning To Fly', 'Pink Floyd']
['Leave Me Alone', 'Screeching Weasel']
['Leave Me Alone', 'Michael Jackson']
['Lessons In Love', 'Level 42']
['Let Me Be The One', 'Expos�']
['Letter From America', 'The Proclaimers']
['Liberian Girl', 'Michael Jackson']
['Light of Day', 'Bruce Springsteen']
["Lightnin' Hopkins", 'R.E.M.']
['Like A Hurricane', 'Kathy Mattea']
['Like the Weather', '10,000 Maniacs']
['Lips Like Sugar', 'Echo & the Bunnymen']
['Little Lies', 'Fleetwood Mac']
['Living in a Box', 'Living in a Box']
['Lock And Key', 'Rush']
['Lone Star State of Mind', 'Nanci Griffith']
['Looking For A New Love', 'Jody Watley']
['Looking for Jack', 'Colin Hay']
['Lost In Emotion', 'Lisa Lisa & Cult Jam']
['Love Bites', 'Def Leppard']
['Love In The First Degree', 'Bananarama']
['Love Removal Machine', 'The Cult']
['Love Will Find a Way', 'Yes']
['Love Yer Brain', 'The Flaming Lips']
["Lover's Lane", 'Georgio']
['Lucretia My Reflection', 'The Sisters of Mercy']
['Luka', 'Suzanne Vega']
['Man In The Mirror', 'Michael Jackson']
['Mandinka', "Sin�ad O'Connor"]
["Mary's Prayer", 'Danny Wilson']
['Master of the Universe', 'Pulp']
['Maybe', 'The Bevis Frond']
['Me and Billy the Kid Never Got Along', 'Joe Ely']
['Me Or Him', 'Roger Waters']
['Mediate', 'INXS']
['Meet Me Half Way', 'Kenny Loggins']
['Mercedes Boy', 'Pebbles']
['Midnight Blue', 'Lou Gramm']
['Mission', 'Rush']
['Monkey', 'George Michael']
['Monkey House', "T'Pau"]
['Moonlight Desires', 'Gowan']
['Moonlighting', 'Al Jarreau']
['Mothers Of The Disappeared', 'U2']
['Mr. Banker', 'Lynyrd Skynyrd']
['Mr. Brownstone', "Guns N' Roses"]
['Mr. Scary', 'Dokken']
['My Michelle', "Guns N' Roses"]
['My Obsession', 'Icehouse']
['My Pal', 'God']
['Mystified', 'Fleetwood Mac']
['Mystify', 'INXS']
['Native Son', 'Bryan Adams']
['Need You Tonight', 'INXS']
['Never Get Old', "Sin�ad O'Connor"]
['Never Gonna Give You Up', 'Rick Astley']
['Never Let Me Down Again', 'Depeche Mode']
['Never Tear Us Apart', 'INXS']
['New Sensation', 'INXS']
['Nightmare', 'Black Sabbath']
