['(I Never Promised You A) Rose Garden', 'Lynn Anderson']
['(They Long to Be) Close to You', 'Carpenters']
['25 Or 6 To 4', 'Chicago']
['4 + 20', 'Crosby, Stills, Nash & Young']
['A Good Year For The Roses', 'George Jones']
['A Song For You', 'Leon Russell']
['ABC', 'The Jackson 5']
['Across The Universe', 'The Beatles']
['After Midnight', 'Eric Clapton']
['After The Gold Rush', 'Neil Young']
["Ain't No Mountain High Enough", 'Diana Ross']
["Alan's Psychedelic Breakfast", 'Pink Floyd']
['All Kinds Of Everything', 'Dana']
['All Right Now', 'Free']
['All the Madmen', 'David Bowie']
['All Things Must Pass', 'George Harrison']
['Almost Cut My Hair', 'Crosby, Stills, Nash & Young']
['American Woman', 'The Guess Who']
['Amoreena', 'Elton John']
['Amos Moses', 'Jerry Reed']
['And It Stoned Me', 'Van Morrison']
["Antique Annie's Magic Lantern Show", 'Marian Henderson']
['Anyday', 'Derek & the Dominos']
['Apeman', 'The Kinks']
['Apple Scruffs', 'George Harrison']
['Are You Ready', 'Pacific Gas & Electric']
['Art Of Dying', 'George Harrison']
['Atom Heart Mother Suite', 'Pink Floyd']
['Aviator', 'Michael Chapman']
['Bad Side Of The Moon', 'Elton John']
["Ball Of Confusion (That's What the World Is Today)", 'The Temptations']
['Band of Gold', 'Freda Payne']
['Been Too Long On The Road', 'Bread']
['Bell Bottom Blues', 'Derek & the Dominos']
['Beware Of Darkness', 'George Harrison']
['Beware Of Young Girls', 'Dory Previn']
['Big Yellow Taxi', 'Joni Mitchell']
['Birds', 'Neil Young']
['Black Country Rock', 'David Bowie']
['Black Day In July', 'Gordon Lightfoot']
['Black Magic Woman', 'Santana']
['Black Night', 'Deep Purple']
['Black Peter', 'Grateful Dead']
['Black Sabbath', 'Black Sabbath']
['Bloodsucker', 'Deep Purple']
['Blue Sunday', 'The Doors']
['Boogie For George', 'UFO']
['Border Song', 'Elton John']
['Box Of Rain', 'Grateful Dead']
['Brand New Day', 'The Staple Singers']
['Bridge Over Troubled Water', 'Simon & Garfunkel']
['Brokedown Palace', 'Grateful Dead']
['Bron-y-aur Stomp', 'Led Zeppelin']
['Brontosaurus', 'The Move']
['Burning Bridges', 'Mike Curb Congregation']
['Butterfly', 'Bee Gees']
['Call Me', 'Aretha Franklin']
['Candida', 'Tony Orlando & Dawn']
['Candyman', 'Grateful Dead']
['Carolina Day', 'Livingston Taylor']
['Carry On', 'Crosby, Stills, Nash & Young']
['Casey Jones', 'Grateful Dead']
['Castles In The Air', 'Don McLean']
['Cecilia', 'Simon & Garfunkel']
['Celebration Day', 'Led Zeppelin']
['Celia of the Seals', 'Donovan']
['Changing Horses', 'Fanny']
['Chestnut Mare', 'The Byrds']
['Child In Time', 'Deep Purple']
['Chords Of Fame', 'Phil Ochs']
['Closer To Home', 'Grand Funk']
["Coal Miner's Daughter", 'Loretta Lynn']
['Colour My World', 'Chicago']
['Come Saturday Morning', 'The Sandpipers']
['Cortical Five', 'Robert Hunter']
['Cottage Cheese', 'Crow']
['Cotton Fields', 'The Beach Boys']
["Cracklin' Rosie", 'Neil Diamond']
['Crazy Love', 'Van Morrison']
['Crescent Noon', 'Carpenters']
['Cripple Creek Ferry', 'Neil Young']
['D.O.A.', 'Bloodrock']
['Dark Globe', 'Syd Barrett']
['Dark Now My Sky', 'Barclay James Harvest']
['Day Of The Locusts', 'Bob Dylan']
['Dear Mother Love Albert', 'Rodney Bewes']
['Denmark Street', 'The Kinks']
["Didn't I (Blow Your Mind This Time)", 'The Delfonics']
['Dig a Pony', 'The Beatles']
['Dig It', 'The Beatles']
['Dolly Dagger', 'Jimi Hendrix']
['Domino', 'Van Morrison']
["Don't Let It Bring You Down", 'Neil Young']
["Don't Look Now (It Ain't You or Me)", 'Creedence Clearwater Revival']
['Done Too Soon', 'Neil Diamond']
['Down The Dustpipe', 'Status Quo']
['Drifting', 'Jimi Hendrix']
['D�j� Vu', 'Crosby, Stills, Nash & Young']
['Eden Unobtainable', 'Barclay James Harvest']
['El Condor Pasa (If I Could)', 'Simon & Garfunkel']
['Electric Funeral', 'Black Sabbath']
['Electric Los Angeles Sunset', 'Al Stewart']
['Errors Of My Way', 'Wishbone Ash']
['Every Night', 'Paul McCartney']
['Everybody Is A Star', 'Sly & the Family Stone']
["Everybody's Got the Right to Love", 'The Supremes']
['Everything Is Beautiful', 'Ray Stevens']
['Fairies Wear Boots', 'Black Sabbath']
['Fastest Growing Heartache In The West', 'Ringo Starr']
['Fat Old Sun', 'Pink Floyd']
['Father And Son', 'Cat Stevens']
['Feliz Navidad', 'Jos� Feliciano']
['Fire and Rain', 'James Taylor']
['Fire and Water', 'Free']
['Flight Of The Rat', 'Deep Purple']
['Follow Me', 'John Denver']
['For Free', 'Joni Mitchell']
['For the Good Times', 'Ray Price']
['For You Blue', 'The Beatles']
['Fortunate Son', 'Creedence Clearwater Revival']
['Free Your Mind And Your Ass Will Follow', 'Funkadelic']
['Freedom', 'The Isley Brothers']
['Freedom', 'Richie Havens']
['Friend Of The Devil', 'Grateful Dead']
['Friends', 'Led Zeppelin']
['Funk #49', 'James Gang']
['Funny Ways', 'Gentle Giant']
['Gallows Pole', 'Led Zeppelin']
['Gerdundula', 'Status Quo']
['Get Up (I Feel Like Being a) Sex Machine', 'James Brown']
['Gethsemane, Again', 'Al Stewart']
['Gimme Dat Ding', 'The Pipkins']
['Give Me Just a Little More Time', 'Chairmen of the Board']
['God', 'John Lennon']
['Good Feeling (1957)', 'Three Dog Night']
["Good Time Charlie's Got The Blues", "Danny O'Keefe"]
['Grandad', 'Clive Dunn']
['Green-Eyed Lady', 'Sugarloaf']
['Greenwood, Mississippi', 'Little Richard']
['Gypsy', 'Uriah Heep']
['Hand Me Down World', 'The Guess Who']
['Hand Of Doom', 'Black Sabbath']
['Handbags And Gladrags', 'Rod Stewart']
['Hang On To Your Life', 'The Guess Who']
['Happy Family', 'King Crimson']
['Hard Headed Woman', 'Cat Stevens']
["Hard Lovin' Man", 'Deep Purple']
['Hate Street Dialogue', 'Rodriguez']
['Hats Off To (Roy) Harper', 'Led Zeppelin']
['Have You Seen My Baby', 'Randy Newman']
['Heaven And Hell', 'The Who']
['Hej, Gamle Man!', 'Bj�rn Ulvaeus & Benny Andersson']
['Help Me Make It Through The Night', 'Sammi Smith']
['Here Come The Girls!', 'Ernie K-Doe']
['Hey There Lonely Girl', 'Eddie Holman']
['Hey, Hey What Can I Do', 'Led Zeppelin']
["Hitchin' a Ride", 'Vanity Fare']
['Hold On', 'John Lennon']
['House at Pooh Corner', 'The Nitty Gritty Dirt Band']
['I Am Yours', 'Derek & the Dominos']
["I Don't Know How To Love Him", 'Yvonne Elliman']
['I Found Out', 'John Lennon']
['I Hear You Knocking', 'Dave Edmunds']
["I Just Can't Help Believing", 'B.J. Thomas']
['I Me Mine', 'The Beatles']
['I Remember Jeep', 'George Harrison']
['I Take A Lot Of Pride In What I Am', 'Merle Haggard']
['I Think I Love You', 'The Partridge Family']
["I Wouldn't Ever Change a Thing", 'Rod Stewart']
["I'd Have You Anytime", 'George Harrison']
["I'll Be There", 'The Jackson 5']
["I've Been Away", 'The Who']
["I've Been Working", 'Van Morrison']
["I've Got a Feeling", 'The Beatles']
['If', 'Pink Floyd']
['If I Were Your Woman', 'Gladys Knight & the Pips']
['If You Could Read My Mind', 'Gordon Lightfoot']
["If You Wouldn't Be My Lady", 'Ray Charles']
['Immigrant Song', 'Led Zeppelin']
['In Memory Of Elizabeth Reed', 'The Allman Brothers Band']
['In My Chair', 'Status Quo']
['In the Summertime', 'Mungo Jerry']
['Indian Summer', 'The Doors']
['Indiana Wants Me', 'R. Dean Taylor']
['Instant Karma', 'John Lennon']
['Into The Fire', 'Deep Purple']
['Into The Mystic', 'Van Morrison']
['Iron Man', 'Black Sabbath']
["Isn't It Quiet And Cold?", 'Gentle Giant']
['Isolation', 'John Lennon']
['It Came Out Of The Sky', 'Creedence Clearwater Revival']
["It's A Shame", 'The Spinners']
['Ivich', 'Al Stewart']
['John Barleycorn', 'Traffic']
['Joy To The World', 'Three Dog Night']
['Junk', 'Paul McCartney']
['Katmandu', 'Cat Stevens']
['Keep On Growing', 'Derek & the Dominos']
['Kentucky Rain', 'Elvis Presley']
['Knife-Edge', 'Emerson, Lake & Palmer']
['Knock Three Times', 'Tony Orlando & Dawn']
['Kodak Ghosts', 'Michael Chapman']
['Kreen-Akrore', 'Paul McCartney']
["Lady D'Arbanville", 'Cat Stevens']
['Lady Whiskey', 'Wishbone Ash']
['Lake Shore Drive', 'Aliotta-Haynes-Jeremiah']
['Land Ho', 'The Doors']
['Lay Down (Candles in the Rain)', 'Melanie']
['Layla', 'Derek & the Dominos']
['Let It Be', 'The Beatles']
['Let It Rain', 'Eric Clapton']
['Lilywhite', 'Cat Stevens']
['Little Green Bag', 'George Baker Selection']
['Living Wreck', 'Deep Purple']
['Lola', 'The Kinks']
['Lonely Days', 'Bee Gees']
['Long, Long Time', 'Linda Ronstadt']
['Longer Boats', 'Cat Stevens']
["Lookin' Out My Back Door", 'Creedence Clearwater Revival']
['Love', 'John Lennon']
['Love Chronicles', 'Al Stewart']
['Love Grows (Where My Rosemary Goes)', 'Edison Lighthouse']
['Love Like a Man', 'Ten Years After']
['Lucky Man', 'Emerson, Lake & Palmer']
['Lucretia Mac Evil', 'Blood, Sweat & Tears']
['Lycka', 'Bj�rn Ulvaeus & Benny Andersson']
['Machine Gun', 'Jimi Hendrix']
["Maggie M'Gill", 'The Doors']
['Maggie Mae', 'The Beatles']
['Make It With You', 'Bread']
['Make Me Smile', 'Chicago']
['Mama Told Me (Not to Come)', 'Three Dog Night']
['Manuscript', 'Al Stewart']
["Maybe I'm Amazed", 'Paul McCartney']
['Memo From Turner', 'The Rolling Stones']
['Merry Christmas Darling', 'Carpenters']
['Meter Maid', 'Rodney Bewes']
