['Little Martha', 'The Allman Brothers Band']
['Little Willy', 'Sweet']
['Lonely at the Top', 'Randy Newman']
['Long Haired Lover From Liverpool', 'Little Jimmy Osmond']
['Long Live Rock', 'The Who']
['Looking Into You', 'Jackson Browne']
['Love And Happiness', 'Al Green']
['Love Theme From The Godfather', 'Andy Williams']
['Love Thy Neighbour', 'Stuart Gillies']
['Love Train', "The O'Jays"]
['Mama Weer All Crazee Now', 'Slade']
['Many Rivers To Cross', 'Jimmy Cliff']
['Marlene', 'Todd Rundgren']
['Mary Long', 'Deep Purple']
['May The Best Man Win', 'Joe S. Maxey']
['Me And Julio Down By The Schoolyard', 'Paul Simon']
['Me And Mrs. Jones', 'Billy Paul']
['Medicine Man', 'Barclay James Harvest']
['Melissa', 'The Allman Brothers Band']
['Metal Guru', 'T. Rex']
['Mona Lisas And Mad Hatters', 'Elton John']
['Moonage Daydream', 'David Bowie']
['Morningside', 'Neil Diamond']
['Mother and Child Reunion', 'Paul Simon']
['Mother Dear', 'Barclay James Harvest']
['Mother Nature', 'The Temptations']
['Mouldy Old Dough', 'Lieutenant Pigeon']
['Mountain Jam', 'The Allman Brothers Band']
['My Ding-a-Ling', 'Chuck Berry']
['My Dream', 'Marilyn Lovell']
['My Tribute (To God Be The Glory) ', 'Andra� Crouch']
['Never Let Go', 'Camel']
['New Horizons', 'The Moody Blues']
["New York's Not My Home", 'Jim Croce']
['Night Of The 4th Of May', 'Al Stewart']
['No Easy Road', 'Wishbone Ash']
['Ode To Big Blue', 'Gordon Lightfoot']
['Oh Babe What Would You Say', 'Hurricane Smith']
['Oh Girl', 'The Chi-Lites']
['Old Man', 'Neil Young']
['Old Man', 'Randy Newman']
['One Hundred Thousand Smiles Out', 'Barclay James Harvest']
['One More Saturday Night', 'Grateful Dead']
['One Way Out', 'The Allman Brothers Band']
["Operator (That's Not the Way It Feels)", 'Jim Croce']
['Out On The Weekend', 'Neil Young']
['Pancho and Lefty', 'Townes Van Zandt']
["Papa Was A Rollin' Stone", 'The Temptations']
['Paper Plane', 'Status Quo']
['Peaceful Easy Feeling', 'Eagles']
['People Need Love', 'ABBA']
['Perfect Day', 'Lou Reed']
['Pinball Number Count', 'The Pointer Sisters']
['Pink Moon', 'Nick Drake']
['Play Me', 'Neil Diamond']
['Political Science', 'Randy Newman']
['Popcorn', 'Hot Butter']
['Pretty Paper', 'Roy Orbison']
['Prisencolinensinainciusol', 'Adriano Celentano']
['Pusherman', 'Curtis Mayfield']
['Re-Make/Re-Model', 'Roxy Music']
['Ready For Love', 'Mott the Hoople']
["Reelin' In The Years", 'Steely Dan']
['Rip This Joint', 'The Rolling Stones']
['Road', 'Nick Drake']
["Rock 'n' Roll Suicide", 'David Bowie']
['Rock And Roll Lullaby', 'B.J. Thomas']
['Rock And Roll Part 2', 'Gary Glitter']
['Rock Steady', 'Aretha Franklin']
['Rocket Man', 'Elton John']
["Rockin' Down the Highway", 'The Doobie Brothers']
["Rockin' Robin", 'Michael Jackson']
['Rocks Off', 'The Rolling Stones']
['Rocky Mountain High', 'John Denver']
['Rolling Stone', 'Suzi Quatro']
['Run To Me', 'Bee Gees']
['Sail Away', 'Randy Newman']
['Sandman', 'America']
['Satellite Of Love', 'Lou Reed']
['Saturday In The Park', 'Chicago']
['School Days', 'Gentle Giant']
["School's Out", 'Alice Cooper']
['Sea Breezes', 'Roxy Music']
['Shake Your Hips', 'The Rolling Stones']
['Shine A Light', 'The Rolling Stones']
['Shut That Door', 'Larry Grayson']
['Siberian Khatru', 'Yes']
['Sign Of The Crab', 'Joe S. Maxey']
['Silver Machine', 'Hawkwind']
['Simon Smith And His Amazing Dancing Bear', 'Randy Newman']
['Slack Alice', 'Larry Grayson']
['Smoke On The Water', 'Deep Purple']
['Sniper', 'Harry Chapin']
['Snowblind', 'Black Sabbath']
['So Begins The Task', 'Stephen Stills']
['Soldier', 'Neil Young']
['Someday Never Comes', 'Creedence Clearwater Revival']
['Someone There You Know', 'Barclay James Harvest']
['Son Of My Father', 'Chicory Tip']
['Song Of Bangladesh', 'Joan Baez']
['Song Of The Wind', 'Santana']
['Song Sung Blue', 'Neil Diamond']
['Soul Makossa (Funky Soul Makossa)', 'Manu Dibango']
["Space Truckin'", 'Deep Purple']
['Spaceship Lover', 'Paul St. John']
['Stand Back', 'The Allman Brothers Band']
['Starman', 'David Bowie']
['Starting All Over Again', 'Mel & Tim']
['Stay', 'Pink Floyd']
['Stir It Up', 'Johnny Nash']
['Stone Flower', 'Santana']
['Stop Breaking Down', 'The Rolling Stones']
['Storm In A Tea Cup', 'Lynsey de Paul']
['Stuck In The Middle With You', 'Stealers Wheel']
['Suavecito', 'Malo']
['Suffragette City', 'David Bowie']
['Sugar Me', 'Lynsey de Paul']
['Sugaree', 'Grateful Dead']
['Summer Breeze', 'Seals & Crofts']
['Sunshine', "The O'Jays"]
['Superfly', 'Curtis Mayfield']
['Supernaut', 'Black Sabbath']
['Superwoman (Where Were You When I Needed You)', 'Stevie Wonder']
["Supper's Ready", 'Genesis']
['Suzie (Dramas)', 'Elton John']
['Sweet Black Angel', 'The Rolling Stones']
['Sweet Surrender', 'Bread']
['Sweet Virginia', 'The Rolling Stones']
['Sylvia', 'Focus']
['Sylvia', 'Ralph McTell']
['Take It Easy', 'Eagles']
['Taxi', 'Harry Chapin']
['Teacher', 'Jethro Tull']
['Telegram Sam', 'T. Rex']
['Tennessee Jed', 'Grateful Dead']
['Tenterfield Saddler', 'Peter Allen']
['The Ballad of El Goodo', 'Big Star']
['The Candy Man', 'Sammy Davis, Jr.']
['The Cisco Kid', 'War']
['The Cover of "Rolling Stone"', 'Dr. Hook & the Medicine Show']
['The Guitar Man', 'Bread']
['The Jean Genie', 'David Bowie']
['The King Will Come', 'Wishbone Ash']
["The Magician's Birthday", 'Uriah Heep']
['The Mexican', 'Babe Ruth']
['The Mosquito', 'The Doors']
['The Needle And The Damage Done', 'Neil Young']
['The News From Spain', 'Al Stewart']
['The Night', 'The Four Seasons']
['The Poet', 'Barclay James Harvest']
['The Soldier', 'Harvey Andrews']
['The Victoria And Albert Waltz', 'Cast of I And Albert']
['The Widow At Windsor', 'Cast of I And Albert']
['The Wizard', 'Uriah Heep']
['The World Is A Ghetto', 'War']
['Then Came The Last Days Of May', 'Blue �yster Cult']
["There's A World", 'Neil Young']
['Thick As A Brick', 'Jethro Tull']
['Things Behind The Sun', 'Nick Drake']
['Thinking Of You', 'Loggins and Messina']
['Thirteen', 'Big Star']
['Throw Down the Sword', 'Wishbone Ash']
['Time In A Bottle', 'Jim Croce']
['To Each His Own', 'America']
['To Lay Me Down', 'Jerry Garcia']
['To the Morning', 'Dan Fogelberg']
["Tonight I Think I'm Gonna Go Downtown", 'The Flatlanders']
['Top Of The World', 'Carpenters']
['Torn And Frayed', 'The Rolling Stones']
['Touch Your Woman', 'Dolly Parton']
['Trouble Man', 'Marvin Gaye']
['Tumbling Dice', 'The Rolling Stones']
['Under The Sun / Every Day Comes And Goes', 'Black Sabbath']
['Ursula (The Swansea Song)', 'Barclay James Harvest']
['Use Me', 'Bill Withers']
['Ventilator Blues', 'The Rolling Stones']
['Ventura Highway', 'America']
['Vicious', 'Lou Reed']
['Virginia Plain', 'Roxy Music']
['Walk On The Wild Side', 'Lou Reed']
['Waves Within', 'Santana']
['Welfare Boogie', 'Fraternity']
['What Are You Doing The Rest Of Your Life?', 'Dusty Springfield']
['What Made Milwaukee Famous', 'Rod Stewart']
['When A Blind Man Cries', 'Deep Purple']
['Where Is The Love?', 'Roberta Flack and Donny Hathaway']
['Whiskey In The Jar', 'Thin Lizzy']
['Whisper In The Night', 'Graham Bonnet']
['Who Is He (And What Is He To You)', 'Bill Withers']
["Why Can't We Live Together", 'Timmy Thomas']
['Why Me', 'Kris Kristofferson']
['Wig-Wam Bam', 'Sweet']
['Wildflower', 'Skylark']
['Will It Go Round In Circles', 'Billy Preston']
['Witchy Woman', 'Eagles']
['Without You', 'Nilsson']
['Wolfman Jack', 'Todd Rundgren']
['Woman Is The Ni--er Of The World', 'John Lennon']
["Woman's Gotta Have It ", 'Bobby Womack']
['Words (Between the Lines of Age)', 'Neil Young']
["Wot's...Uh The Deal", 'Pink Floyd']
['Yes, I Guess They Oughta Name A Drink After You', 'John Prine']
['You and I (We Can Conquer the World)', 'Stevie Wonder']
['You Are The Sunshine Of My Life', 'Stevie Wonder']
['You Can Get It If You Really Want', 'Jimmy Cliff']
['You Can Leave Your Hat On', 'Randy Newman']
["You Don't Even Know Me", 'Al Stewart']
["You Don't Mess Around With Jim", 'Jim Croce']
['You Ought to Be with Me', 'Al Green']
["You Turn Me On I'm a Radio", 'Joni Mitchell']
['You Wear It Well', 'Rod Stewart']
["You're So Vain", 'Carly Simon']
["You're Still A Young Man", 'Tower of Power']
["Your Mama Don't Dance", 'Loggins and Messina']
['Ziggy Stardust', 'David Bowie']
['Zimmerman Blues', 'Ralph McTell']
