['Back Porch Bottle Service', 'AJ McLean']
['Back to Life', 'Rascal Flatts']
['Back to You', 'Selena Gomez']
["Backin' It Up", 'Pardison Fontaine']
['Backup Plan', 'Plested']
['Bad', 'XXXTENTACION']
['Bad Dreams', 'Pete Yorn and Scarlett Johansson']
['Bad Girlfriend', 'Anne-Marie']
['Bad Liar', 'Imagine Dragons']
['Bad Luck', 'Neko Case']
['Bad Vibe', 'M.O']
['Ball for Me', 'Post Malone']
['Bandito', 'Twenty One Pilots']
['Barbie Dreams', 'Nicki Minaj']
['Barbie Tingz', 'Nicki Minaj']
['Barrowland Star', 'Simple Minds']
['Basic Needs', 'Jonathan Davis']
['Bastards', 'Machine Head']
['Batphone', 'Arctic Monkeys']
['Be Alright', 'Dean Lewis']
['Be Careful', 'Cardi B']
['Be Legendary', 'Pop Evil']
['Be More Kind', 'Frank Turner']
['Beach House', 'The Chainsmokers']
['Beautiful Crazy', 'Luke Combs']
['Beautiful Day', 'Vincent Poag']
['Beautifully Broken', 'Plumb']
['Bebe', '6ix9ine']
['Become The Storm', 'Dee Snider']
['Bed', 'Nicki Minaj']
['Before The Water Gets Too High', 'Parquet Courts']
['Behind Barz', 'Drake']
['Beloved', 'Mumford & Sons']
['Best Days', 'Lissie']
['Best Life', 'Cardi B']
['Best Seat in the House', 'Blackberry Smoke']
['Best Shot', 'Jimmie Allen']
['Best Years of My Life', 'Pistol Annies']
["Bet Ain't Worth The Hand", 'Leon Bridges']
['Better', 'Khalid']
['Better At Being Who I Am', 'Jason Aldean']
['Better Boat', 'Kenny Chesney']
['Better Now', 'Post Malone']
['Better Off', 'Ariana Grande']
['Between The Lines', 'Robyn']
['Bickenhead', 'Cardi B']
['Big Bank', 'YG']
['Big God', 'Florence + the Machine']
['Big Mouth', 'Nikki Yanofsky']
['Big Ole Freak', 'Megan Thee Stallion']
['Big Shot', 'Kendrick Lamar']
['Bigger Than This', 'Jo Dee Messina']
['Bigger Than You', '2 Chainz']
['Bike Lane', 'Stephen Malkmus & the Jicks']
['Bird in a Cage', 'Sugarland']
['Birthday', 'All Time Low']
['Black', 'Cat Power']
['Black Effect ', 'The Carters']
['Black Holes', 'Mallory Knox']
['Black Moon Rising', 'Black Pumas']
['Black Panther', 'Kendrick Lamar']
['Black Vultures ', 'Halestorm']
['Blood Red Roses', 'Rod Stewart']
['Blue Tacoma', 'Russell Dickerson']
['Blue Tint', 'Drake']
['Blur', 'M�']
['BMT', 'Fredo']
['Body', 'Glowie']
['Body Count', 'Jessie Reyez']
['Body Talks', 'The Struts']
['Bombs Above', 'Jeff Tweedy']
['Bone Dry', 'Eels']
['Born To Be Strangers', 'Richard Ashcroft']
['Born To Live', 'Marianne Faithfull']
['Boss', 'The Carters']
['Botanical Gardens', 'Don McLean']
['Bottoms Up', 'The Boyboy West Coast']
['Boulevard Of Broken Hearts', 'Slash']
['Bowie', 'Paul Weller']
['BRACKETS', 'J. Cole']
['Break Up In The End', 'Cole Swindell']
['Breakfast Epiphany', 'Boy Azooga']
['Breathin', 'Ariana Grande']
['Brokenhearted', 'William Michael Morgan']
['Brooklyn', 'Fickle Friends']
["Bubblin'", 'Anderson Paak']
['Bucked Off', 'Brad Paisley']
['Bulletproof', 'Godsmack']
['Bullets', 'Needtobreathe']
['Burn the Ships', 'For King & Country']
['Burning Man', 'Dierks Bentley']
['Burnt Sugar Is So Bitter', 'Elvis Costello']
